L1	1	4
L2	1	3
L3	1	2
L4	1	1
L5	2	4
L6	2	3
L7	2	2
L8	2	1
L9	3	4
L10	3	3
L11	3	2
L12	3	1
L13	4	4
L14	4	3
L15	4	2
L16	4	1
R1	1	4
R2	1	3
R3	1	2
R4	1	1
R5	2	4
R6	2	3
R7	2	2
R8	2	1
R9	3	4
R10	3	3
R11	3	2
R12	3	1
R13	4	4
R14	4	3
R15	4	2
R16	4	1
CC1	-1	-1
CC2	-1	-1
